,review
1,I ordered stuffed cheesy bread for a change and it was absolutely worth of every penny! It was so cheesy and satisfying. The cheese was so stringy when you were taking pieces apart and was so satisfying. I absolutely recommend it to others. Their advertisement matches to the quality of their product. I bought it from 1171 Upper James location.
2,"Assistant was very Professional and understood my complaint to the fullest with no attitude…Got right to the problem at hand and rectified the situation without it going overboard or to the next level, my problem was heard and not just given attitude, very, very Professional. 10/10 that that she resolved my problem and rectified the situation without further speaking to a higher figure!"
3,"Absolutely love the value with their ""buy at least two"" deal going on. I save a lot of money's and it's easy to sell at work. Plus, I get a free pizza every now and then using my points. How awesome is that? I rarely give my business to anyone else when it comes to pizza."
4,"Ordered a veggie lover's pizza without onion from the location on Kearney and they got it wrong. Was supposed to send a voucher to us for a free pizza yet we never got it, so we called again and they told us to wait, so we called again and Justin took care of his right then and there and had it sent to us within 30 minutes. I know it was so hard for the others but Justin got it right on how you're supposed to deal with your customers. Good job."
5,"Just another good experience with the Domino's Pizza store at Kathleen Square in North Lakeland, Fl. Ordered online, easy and seamless. Predicted 30-40 minute delivery time from the time my order was entered, ended up being less than 25 minutes. Our two pizzas were perfectly baked and just...pretty, as if the pizza chef made it for his/her own family. Seriously. The packaged chicken Caesar salad looks good, it's for my wife's lunch tomorrow. This is not our first order from this location, and the team at this store has nailed it every time. Keep it up and we will be continuing customers."
6,"I ordered dinner delivered from Domino's, Gymea, for my family at a cost of $70. Three hours later dinner still hadn't arrived. I tried to call repeatedly but staff were ignoring the phone. So I went into Domino's to complain. I was offered a refund which I was told would take two days to return to my bank account. Well It's been one month and despite repeated phone calls and promises the refund will be in my account 'tomorrow' I am still waiting. Never again Domino's. I am about to call Consumer Affairs and complain about you. I hope you go broke."
7,"I ordered a Philly Beef Sandwich from Domino's Pizza in North Brach MN ON 10/24/2022. STAFF WAS FRIENDLY. My question is WHERE'S THE BEEF? Very sparse amount of Beef in this sandwich, in fact there was more cheese than anything. Terrible quality."
8,The managers routinely stole my online delivery tips and were very bold about doing so. When 1 of the managers was informed she also began to also steal my tips. Theives at Michigan Store 1085 on Plymouth Road.
9,"25 SEP 22 I picked up a carry-out order from Dominos store #3551, located at 132 Tuckahoe Rd in Yonkers, NY. Upon entering the establishment, I witnessed the 2 staff members in the back of the store preparing food with their bare-hands. The members were touching the uncooked meats, cheeses & vegetables whilst adjusting their clothes and hair. The practice was incredibly unsanitary, cross-contaminating the food and no one seems to care. I reached out to Domino's that same night via email, it has been 25 days and I have heard nothing since from the company. This matter needs to be addressed immediately for the safety of the consumers."
10,The thing that tops my experience is the SUPERB customer service. Arrick is beyond amazing and is the reason we will be back! He made sure my order was correct and I had everything I need. He is respectful and professional. The app ordering was simple and easy and the food is consistently tasty.
11,"If you drive by a Domino's Pizza and get a sudden craving, go to any other pizza store, because you will be penalized for ordering in-store. They want you to order online. You need to plan your visit."
12,I ordered stuffed cheesy bread for a change and it was absolutely worth of every penny! It was so cheesy and satisfying. The cheese was so stringy when you were taking pieces apart and was so satisfying. I absolutely recommend it to others. Their advertisement matches to the quality of their product. I bought it from 1171 Upper James location.
